Cmpd1	Cmpd2	TS
Brc1cc(co1)C(=O)N1CC=C(C1)c1ccccc1	Brc1cc(co1)C(=O)N1CC=C(C1)c1ccccc1	1.0
COc1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccc2[nH]ccc12	CC(=O)Nc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)Nc1cccc2n(C)ccc12	0.8905907869338989
Cc1cc(N)nc(SC[C@H]2Cn3c(S2)nnc3-c2cccnc2)n1	C(Sc1ccccc1)[C@H]1Cn2c(S1)nnc2-c1cccnc1	0.8643215894699097
CC[C@@H](Oc1cccc(C)c1)C(=O)NCc1ccc(OC2CC[NH+](C)CC2)cc1	[O-]C(=O)[C@@H](Cc1ccccc1)NC(=O)c1cccc(OCc2cccnc2)c1	0.8515151739120483
Fc1cc(ccc1C(=O)N1CCCC1)S(=O)(=O)N(CC#C)CC#C	CC[C@H]1CC[C@H](C)N1C(=O)c1cccc([N-]S(=O)(=O)c2ccc(C)c(F)c2)c1	0.8428927659988403
CN(C)S(=O)(=O)N1CCN(CC1)C(=O)c1cccc(Nc2ncccn2)c1	C[C@@H]1CCC[C@@H](C1)NC(=O)CN1CC[NH+](CC1)C1CCN(CC1)S(C)(=O)=O	0.8364115953445435
COC(=O)c1[nH]\c(=N\C(=O)CCc2c(C)noc2C)sc1-c1cccc(F)c1	COCCn1ccc2c(cccc12)C(=O)\N=c1\[nH]c(C(=O)OC)c(s1)C(C)C	0.8311403393745422
CC(C)[C@@H](O)c1ccccc1NC(=O)c1cccc(OCC=C(C)C)c1	CCCCOc1ccc(cc1)C(=O)NCC(=O)N[C@H]1CCCC[C@H]1CO	0.826797366142273
Cc1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccccc1C	OC1(CN2CCOCC2)CCN(CC1)S(=O)(=O)Cc1ccccc1	0.8230562806129456
C[C@H](OC(=O)c1ccc(F)c(NC(C)=O)c1)[C@@H]1CC[NH+](Cc2ccccc2)C1	CCOc1cc(CNc2ccc(cc2)C([O-])=O)ccc1OCc1ccc(Cl)cc1	0.8197183012962341
C[NH+]1CC[C@@H]2CCN([C@H]2C1)C(=O)c1ccc(C)c(c1)S(=O)(=O)NCc1ccccc1	COC(=O)c1cc(cc(c1)S(=O)(=O)N1CCN(C)[C@@H](C)[C@H]1C)C(=O)OC	0.8167420625686646
COc1ccc2n(CCC(=O)NCc3nc4ccccc4[nH]3)ccc2c1	CC(C)n1ccc2c(NC(=O)COc3c[nH]c(C)cc3=O)cccc12	0.8140703439712524
COc1cccc(c1)-c1nn(Cc2ccccc2)cc1C(=O)N[C@H]1CCO[C@H](C1)C(C)(C)C	CC(C)Oc1ccc(cn1)C(=O)N1CCC[C@H](C1)n1nccc1C(F)(F)F	0.8116592168807983
O[C@H]1[C@@H](Cc2ccccc12)[NH+]1CCCN(CC1)C(=O)c1ccc(F)cc1	C[C@@H](OC(=O)[C@H]1Cc2cc(F)ccc2O1)C(=O)Nc1c(C)cccc1C	0.8094059228897095
OCCCNC(=O)C1CCN(CC1)S(=O)(=O)c1ccc(F)c(F)c1F	O=C(N[C@H]1CCO[C@@]2(CCOC2)C1)c1ccc(cc1)S(=O)(=O)NCC#C	0.8073170781135559
C[C@H]1[C@H](C)N(CCN1C)S(=O)(=O)c1ccc(Cl)cc1F	COc1cc(C)c(cc1OC)S(=O)(=O)N1CCCC[C@H]1c1nc[nH]n1	0.8053528070449829
Clc1ccc2[nH]c(nc2c1)[C@@H]1CCCC[C@@H]1C(=O)NCc1ccc2OCOc2c1	CC(C)C[C@H](N1Cc2ccccc2C1=O)C(=O)NCCc1nnc2ccccn12	0.8034934401512146
C[NH+](C)CCOc1cc(ccn1)C(=O)N1CCCC[C@@H]1c1[nH]cc[nH+]1	NC(=O)c1cccc(CN[C@@H]2CCO[C@H]2c2ccc(Cl)cc2)c1	0.8018018007278442
CCN(C(=O)c1cnc(C)nc1C)c1cccc(F)c1	CCOc1ccc(NC(=O)c2[nH]c(C)cc2C)cc1CO	0.800000011920929
CN(CC(=O)Nc1ccc(C)cc1)S(=O)(=O)c1cc(sc1C)C(N)=O	COC(=O)[C@@H](NC(=O)[C@H]1CCCN(C1)S(=O)(=O)c1ccc(C)s1)c1cccnc1	0.7986111044883728
CCN(CC(F)(F)F)C(=O)[C@@H](OC)c1ccccc1	CCC(=O)N1CCC(CC1)[NH2+][C@@H](C)C[C@@H](O)c1ccc(F)cc1	0.7971529960632324
