	Molecule
0	O=C(Cn1nc(ccc1=O)-c1cccc2ccccc12)NC1CCCCCC1
1	COc1cc(cc(OC)c1OC)C(=O)NCCn1c(C)nc2ncccc2c1=O
2	Fc1cc(F)c(CC(=O)NCCCc2nnc3ccccn23)cc1F
3	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)Nc1nc(cs1)-c1cccnc1
4	Clc1cccc(c1)N1CCN(CC1)C(=O)CCC(=O)NCc1cccnc1
5	COCCn1c(cc2cc(Cl)ccc12)C(=O)N[C@@H]1CCOC(C)(C)C1
6	O=C([C@@H](c1ccccc1)n1cnnn1)N1CCO[C@@H](C1)c1ccccc1
7	O=C([C@@H](c1ccccc1)n1cnnn1)N1CCO[C@H](C1)c1ccccc1
8	COC(=O)CCNC(=O)Cc1c(C)n[nH]c1-c1ccc(OC)cc1
9	CCCCc1nc(OCC(N)=O)c(C#N)c2CC(C)(C)OCc12
10	COc1ccc2n(C)cc(C(=O)Nc3ccn(C)n3)c2c1
11	Clc1ccc(cc1)[C@H](CC(=O)NCCc1nccs1)Cn1cccc1
12	OC1=Nc2c([C@H](C1)c1c(F)cccc1Cl)c(=O)[nH]n2C1CCOCC1
13	COc1cc2cc(C(=O)NCc3nnc4ccccn34)n(C)c2cc1OC
14	O=C(NCc1ccccn1)c1csc(NC2CC2)n1
15	CC[NH+]1CCC[C@H]1CNC(=O)Cc1csc(n1)-c1cccc(OC)c1
16	Cc1nn(CCC([O-])=O)c(C)c1[C@@H](CC([O-])=O)c1c([O-])cc(C)[nH]c1=O
17	C[C@H](C(=O)NCCc1nccs1)n1nnc2ccccc2c1=O
18	CCOC(=O)c1cs\c(=N/C(=O)c2cc3cc(Cl)ccc3n2CCOC)[nH]1
19	O=C(CCCCCNc1ncccn1)Nc1nc2CCCCCc2s1
20	O=C(Cc1csc(n1)-n1cccc1)NCc1nnc2ccccn12
21	Cn1ccc2c(NC(=O)CNC(=O)c3cccnc3)cccc12
22	Cc1ccc2c(cc(=O)oc2c1C)-c1cc2c(C[NH2+]Cc3ccccc3)cnc(C)c2o1
23	CCCc1nnc(NC(=O)C[C@H]2NC(=O)c3ccccc3N=C2O)s1
